match_id,giornata,season,date_str,home_team,home_team_code,away_team,away_team_code,home_score,away_score,status,difficolta_home,difficolta_away
2026_G01_UDI_COM,1,2026/2027,Sat Aug 22 2026 18:30,Udinese,UDI,Como,COM,1,1,FINISHED,1,1
2026_G01_INT_MON,1,2026/2027,Sat Aug 22 2026 15:00,Inter,INT,Monza,MON,4,1,FINISHED,1,3
2026_G01_GEN_NAP,1,2026/2027,Sat Aug 22 2026 20:45,Genoa,GEN,Napoli,NAP,0,2,FINISHED,3,1
2026_G01_PAR_CAG,1,2026/2027,Sat Aug 22 2026 15:00,Parma,PAR,Cagliari,CAG,0,1,FINISHED,1,1
2026_G01_EMP_JUV,1,2026/2027,Sun Aug 23 18:30,Empoli,EMP,Juventus,JUV,0,1,FINISHED,3,1
2026_G01_VEN_LEC,1,2026/2027,Sun Aug 23 15:00,Venezia,VEN,Lecce,LEC,0,2,FINISHED,1,1
2026_G01_ATA_VER,1,2026/2027,Sun Aug 23 20:45,Atalanta,ATA,Verona,VER,2,1,FINISHED,1,3
2026_G01_TOR_MIL,1,2026/2027,Sun Aug 23 15:00,Torino,TOR,Milan,MIL,1,2,FINISHED,3,2
2026_G01_BOL_LAZ,1,2026/2027,Mon Aug 24 18:30,Bologna,BOL,Lazio,LAZ,0,1,FINISHED,2,2
2026_G01_ROM_FIO,1,2026/2027,Mon Aug 24 20:45,Roma,ROM,Fiorentina,FIO,4,0,FINISHED,2,2
2026_G02_MIL_VEN,2,2026/2027,Fri Aug 28 20:45,Milan,MIL,Venezia,VEN,2,0,FINISHED,1,3
2026_G02_VER_TOR,2,2026/2027,Sat Aug 29 18:30,Verona,VER,Torino,TOR,2,1,FINISHED,2,1
2026_G02_MON_UDI,2,2026/2027,Sat Aug 29 15:00,Monza,MON,Udinese,UDI,2,3,FINISHED,1,1
2026_G02_FIO_EMP,2,2026/2027,Sat Aug 29 15:00,Fiorentina,FIO,Empoli,EMP,0,3,FINISHED,1,2
2026_G02_JUV_PAR,2,2026/2027,Sat Aug 29 20:45,Juventus,JUV,Parma,PAR,2,0,FINISHED,1,3
2026_G02_NAP_COM,2,2026/2027,Sun Aug 30 18:30,Napoli,NAP,Como,COM,1,2,FINISHED,1,3
2026_G02_LAZ_GEN,2,2026/2027,Sun Aug 30 20:45,Lazio,LAZ,Genoa,GEN,1,0,FINISHED,1,2
2026_G02_CAG_INT,2,2026/2027,Sun Aug 30 15:00,Cagliari,CAG,Inter,INT,0,1,FINISHED,3,1
2026_G02_LEC_ROM,2,2026/2027,Mon Aug 31 18:30,Lecce,LEC,Roma,ROM,0,4,FINISHED,2,1
2026_G02_ATA_BOL,2,2026/2027,Mon Aug 31 20:45,Atalanta,ATA,Bologna,BOL,1,0,FINISHED,2,3
2026_G03_GEN_COM,3,2026/2027,Fri Sep 4 20:45,Genoa,GEN,Como,COM,,,SCHEDULED,1,1
2026_G03_FIO_TOR,3,2026/2027,Sat Sep 5 15:00,Fiorentina,FIO,Torino,TOR,,,SCHEDULED,2,2
2026_G03_INT_NAP,3,2026/2027,Sat Sep 5 18:00,Inter,INT,Napoli,NAP,,,SCHEDULED,3,3
2026_G03_ROM_ATA,3,2026/2027,Sat Sep 5 20:45,Roma,ROM,Atalanta,ATA,,,SCHEDULED,3,2
2026_G03_PAR_MON,3,2026/2027,Sun Sep 6 15:00,Parma,PAR,Monza,MON,,,SCHEDULED,1,1
2026_G03_EMP_VEN,3,2026/2027,Sun Sep 6 15:00,Empoli,EMP,Venezia,VEN,,,SCHEDULED,1,1
2026_G03_BOL_VER,3,2026/2027,Sun Sep 6 18:00,Bologna,BOL,Verona,VER,,,SCHEDULED,1,2
2026_G03_JUV_MIL,3,2026/2027,Sun Sep 6 20:45,Juventus,JUV,Milan,MIL,,,SCHEDULED,3,3
2026_G03_CAG_LEC,3,2026/2027,Mon Sep 7 18:30,Cagliari,CAG,Lecce,LEC,,,SCHEDULED,1,1
2026_G03_UDI_LAZ,3,2026/2027,Mon Sep 7 20:45,Udinese,UDI,Lazio,LAZ,,,SCHEDULED,2,1
2026_G04_VEN_FIO,4,2026/2027,Fri Sep 11 20:45,Venezia,VEN,Fiorentina,FIO,,,SCHEDULED,2,1
2026_G04_GEN_EMP,4,2026/2027,Sat Sep 12 15:00,Genoa,GEN,Empoli,EMP,,,SCHEDULED,1,1
2026_G04_LAZ_MIL,4,2026/2027,Sat Sep 12 18:00,Lazio,LAZ,Milan,MIL,,,SCHEDULED,3,2
2026_G04_ATA_CAG,4,2026/2027,Sat Sep 12 20:45,Atalanta,ATA,Cagliari,CAG,,,SCHEDULED,1,3
2026_G04_LEC_MON,4,2026/2027,Sun Sep 13 15:00,Lecce,LEC,Monza,MON,,,SCHEDULED,1,1
2026_G04_NAP_BOL,4,2026/2027,Sun Sep 13 18:00,Napoli,NAP,Bologna,BOL,,,SCHEDULED,2,3
2026_G04_VER_JUV,4,2026/2027,Sun Sep 13 20:45,Verona,VER,Juventus,JUV,,,SCHEDULED,3,1
2026_G04_COM_PAR,4,2026/2027,Mon Sep 14 18:30,Como,COM,Parma,PAR,,,SCHEDULED,1,1
2026_G04_TOR_ROM,4,2026/2027,Mon Sep 14 15:00,Torino,TOR,Roma,ROM,,,SCHEDULED,2,2
2026_G04_INT_UDI,4,2026/2027,Mon Sep 14 20:45,Inter,INT,Udinese,UDI,,,SCHEDULED,1,3
2026_G05_MON_VER,5,2026/2027,Fri Sep 18 20:45,Monza,MON,Verona,VER,,,SCHEDULED,1,1
2026_G05_BOL_TOR,5,2026/2027,Sat Sep 19 15:00,Bologna,BOL,Torino,TOR,,,SCHEDULED,2,2
2026_G05_UDI_CAG,5,2026/2027,Sat Sep 19 15:00,Udinese,UDI,Cagliari,CAG,,,SCHEDULED,1,1
2026_G05_ROM_INT,5,2026/2027,Sat Sep 19 18:00,Roma,ROM,Inter,INT,,,SCHEDULED,3,2
2026_G05_VEN_LAZ,5,2026/2027,Sat Sep 19 20:45,Venezia,VEN,Lazio,LAZ,,,SCHEDULED,2,1
2026_G05_FIO_NAP,5,2026/2027,Sun Sep 20 12:30,Fiorentina,FIO,Napoli,NAP,,,SCHEDULED,3,2
2026_G05_EMP_COM,5,2026/2027,Sun Sep 20 15:00,Empoli,EMP,Como,COM,,,SCHEDULED,1,1
