giornata,match_id,team,team_code,is_home,opponent,opponent_code,formation,player_name,ruolo,status,probability
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Okoye,P,STARTER,90
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Abankwah,D,STARTER,80
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Kabasele,D,STARTER,80
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Solet,D,STARTER,90
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Vojvoda,D,STARTER,90
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Piotrowski,C,STARTER,85
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Karlstrom,C,STARTER,90
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Kamara H.,D,STARTER,90
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Ekkelenkamp,C,STARTER,90
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Unai Gomez,C,STARTER,90
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Davis K.,A,STARTER,90
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Mrozek,P,BENCH,5
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Piana,P,BENCH,1
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Padelli,P,BENCH,1
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Ebosse,D,BENCH,40
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Bertola,D,BENCH,55
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Arizala,D,BENCH,55
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Miller L.,C,BENCH,60
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Jovanovic,C,BENCH,35
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Zarraga,C,BENCH,50
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Gueye,A,BENCH,60
1,2026_G01_UDI_COM,Udinese,UDI,True,Como,COM,3-4-2-1,Bayo V.,A,BENCH,40
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Butez,P,STARTER,90
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Couto,D,STARTER,60
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Chalobah T.,D,STARTER,80
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Ramon,D,STARTER,80
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Valle,D,STARTER,60
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Da Cunha,C,STARTER,80
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Perrone,C,STARTER,80
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Diao,A,STARTER,85
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Paz N.,C,STARTER,90
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Baturina,C,STARTER,80
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Kean,A,STARTER,55
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Sanchez Ro.,P,BENCH,5
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Vigorito,P,BENCH,1
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Smolcic I.,D,BENCH,60
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Kaiki,D,BENCH,55
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Kambwala,D,BENCH,25
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Kempf,D,BENCH,40
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Goldaniga,D,BENCH,20
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Milla,C,BENCH,60
1,2026_G01_UDI_COM,Como,COM,False,Udinese,UDI,4-2-3-1,Caqueret,C,BENCH,30
