id,nome,squadra,squadra_code,ruolo,ruolo_mantra,qa,qi,fvm_1000,prezzo_target,prezzo_max,tier,piazzati,mod_rating,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_segnati,rigori_sbagliati,rigori_parati,assist,ammonizioni,espulsioni,clean_sheets,xg,xa,xg_90,xa_90,moneyball_index,titolare_probabile,note,updated_at
5585,Malen,Roma,ROM,A,pc,38,34,450,225,281,1 Top Assoluto (1° Slot),1° Rigorista / Perno Attacco Roma,,2,8.25,15.5,5,0,0,0,0,0,1,0,0,27.2,7.5,0.8,0.22,49.81,True,,2026-09-02T18:37:09Z
2764,Martinez L.,Inter,INT,A,pc,33,35,361,180,225,1 Top Assoluto (1° Slot),"2° Rigorista, Capitano",,2,5.75,5.5,0,0,0,0,0,0,1,0,0,18.91,6.02,0.56,0.18,45.79,True,,2026-09-02T18:37:09Z
6052,Hojlund,Napoli,NAP,A,pc,28,28,260,130,162,1 Top Assoluto (1° Slot),1° Rigorista Napoli,,2,6.25,7.75,1,0,0,0,0,0,0,0,0,15.17,4.33,0.45,0.13,46.07,True,,2026-09-02T18:37:09Z
4871,Thuram,Inter,INT,A,pc,28,29,249,124,155,1 Top Assoluto (1° Slot),,,1,5.5,5.5,0,0,0,0,0,0,0,0,0,11.32,4.15,0.33,0.12,43.92,True,,2026-09-02T18:37:09Z
6875,Paz N.,Como,COM,C,t;a,29,30,245,122,152,1 Top Centrocampo,,,2,5.75,5.75,0,0,0,0,0,0,0,0,0,6.12,7.0,0.18,0.21,45.0,True,,2026-09-02T18:37:09Z
2194,Calhanoglu,Inter,INT,C,m;c,28,27,243,122,152,1 Top Centrocampo,"1° Rigorista, Punizioni, Corner (Infallibile)",,2,7.0,9.75,2,0,0,0,0,0,1,0,0,9.07,8.14,0.27,0.24,49.34,True,,2026-09-02T18:37:09Z
254,Dimarco,Inter,INT,D,e;w,31,32,240,120,150,1 Top Difesa,,TOP,2,6.25,6.25,0,0,0,0,0,0,0,0,0,3.32,4.36,0.1,0.13,51.48,True,"Attaccante aggiunto, batte punizioni e corner",2026-09-02T18:37:09Z
6397,Ramos G.,Milan,MIL,A,pc,27,27,237,118,148,1 Top Assoluto (1° Slot),1° Rigorista Milan,,2,6.5,8.0,1,0,0,0,0,0,0,0,0,14.12,3.95,0.42,0.12,46.3,True,,2026-09-02T18:37:09Z
4777,McTominay,Napoli,NAP,C,c;t,27,28,220,110,138,1 Top Centrocampo,,,2,5.75,5.75,0,0,0,0,0,0,0,0,0,5.5,6.29,0.16,0.18,44.77,True,,2026-09-02T18:37:09Z
7017,Douvikas,Como,COM,A,pc,22,20,185,92,115,2 Secondo Slot di Lusso,,,2,6.75,9.75,2,0,0,0,0,0,0,0,0,10.11,3.08,0.3,0.09,45.62,True,,2026-09-02T18:37:09Z
2097,Kean,Como,COM,A,pc,24,25,183,92,115,2 Secondo Slot di Lusso,,,1,6.0,6.0,0,0,0,0,0,0,0,0,0,8.32,3.05,0.24,0.09,43.5,True,,2026-09-02T18:37:09Z
2167,Orsolini,Bologna,BOL,C,w;a,25,26,177,88,110,1 Top Centrocampo,"1° Rigorista Bologna, Punizioni",,2,5.75,5.75,0,0,0,0,0,0,0,0,0,5.92,6.26,0.17,0.18,45.73,True,,2026-09-02T18:37:09Z
